,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,0,1,,,,,,,,,,,,,,,,,,,,,,,
7,2,3,244.0,,,,,,,,,,,,,,,,,,,,,,
58,4,29,38.0,198.0,209.0,,,,,,,,,,,,,,,,,,,,
52,5,6,184.0,221.0,,,,,,,,,,,,,,,,,,,,,
56,7,177,178.0,,,,,,,,,,,,,,,,,,,,,,
9,8,9,,,,,,,,,,,,,,,,,,,,,,,
10,10,159,,,,,,,,,,,,,,,,,,,,,,,
23,11,47,151.0,220.0,,,,,,,,,,,,,,,,,,,,,
53,12,92,242.0,243.0,,,,,,,,,,,,,,,,,,,,,
42,13,18,46.0,134.0,135.0,,,,,,,,,,,,,,,,,,,,
60,14,15,16.0,,,,,,,,,,,,,,,,,,,,,,
57,17,19,20.0,21.0,,,,,,,,,,,,,,,,,,,,,
61,22,23,24.0,28.0,42.0,43.0,44.0,45.0,133.0,,,,,,,,,,,,,,,,
40,25,26,27.0,,,,,,,,,,,,,,,,,,,,,,
55,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,,,,,,,,,,
3,39,70,71.0,158.0,160.0,161.0,163.0,165.0,167.0,170.0,171.0,172.0,173.0,195.0,196.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0,240.0
37,40,52,127.0,149.0,150.0,152.0,,,,,,,,,,,,,,,,,,,
64,41,59,,,,,,,,,,,,,,,,,,,,,,,
34,48,49,50.0,,,,,,,,,,,,,,,,,,,,,,
33,51,96,97.0,98.0,,,,,,,,,,,,,,,,,,,,,
31,53,54,55.0,144.0,,,,,,,,,,,,,,,,,,,,,
59,56,57,58.0,,,,,,,,,,,,,,,,,,,,,,
38,60,62,,,,,,,,,,,,,,,,,,,,,,,
20,61,87,,,,,,,,,,,,,,,,,,,,,,,
19,63,83,218.0,,,,,,,,,,,,,,,,,,,,,,
63,64,101,132.0,155.0,156.0,211.0,212.0,241.0,,,,,,,,,,,,,,,,,
62,65,66,183.0,,,,,,,,,,,,,,,,,,,,,,
65,67,68,,,,,,,,,,,,,,,,,,,,,,,
43,69,72,73.0,74.0,,,,,,,,,,,,,,,,,,,,,
6,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,,,,,,,,,,
5,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,,,,,,,,,,
21,86,148,,,,,,,,,,,,,,,,,,,,,,,
25,89,190,,,,,,,,,,,,,,,,,,,,,,,
4,90,91,94.0,95.0,,,,,,,,,,,,,,,,,,,,,
28,99,100,128.0,129.0,,,,,,,,,,,,,,,,,,,,,
27,102,105,106.0,107.0,,,,,,,,,,,,,,,,,,,,,
36,103,104,108.0,,,,,,,,,,,,,,,,,,,,,,
30,109,110,111.0,112.0,,,,,,,,,,,,,,,,,,,,,
29,113,114,115.0,116.0,,,,,,,,,,,,,,,,,,,,,
39,117,119,122.0,125.0,,,,,,,,,,,,,,,,,,,,,
26,118,120,121.0,123.0,124.0,126.0,,,,,,,,,,,,,,,,,,,
35,130,131,138.0,139.0,140.0,141.0,143.0,145.0,146.0,,,,,,,,,,,,,,,,
41,136,137,,,,,,,,,,,,,,,,,,,,,,,
32,142,147,,,,,,,,,,,,,,,,,,,,,,,
2,153,154,157.0,,,,,,,,,,,,,,,,,,,,,,
1,162,164,166.0,174.0,175.0,180.0,,,,,,,,,,,,,,,,,,,
15,168,169,217.0,,,,,,,,,,,,,,,,,,,,,,
45,176,239,,,,,,,,,,,,,,,,,,,,,,,
51,179,192,193.0,194.0,210.0,,,,,,,,,,,,,,,,,,,,
13,181,208,,,,,,,,,,,,,,,,,,,,,,,
14,182,219,,,,,,,,,,,,,,,,,,,,,,,
18,185,222,,,,,,,,,,,,,,,,,,,,,,,
11,186,191,223.0,,,,,,,,,,,,,,,,,,,,,,
17,187,224,,,,,,,,,,,,,,,,,,,,,,,
24,188,228,,,,,,,,,,,,,,,,,,,,,,,
16,189,227,,,,,,,,,,,,,,,,,,,,,,,
49,197,200,201.0,202.0,205.0,,,,,,,,,,,,,,,,,,,,
50,199,203,204.0,206.0,207.0,,,,,,,,,,,,,,,,,,,,
22,226,235,,,,,,,,,,,,,,,,,,,,,,,
44,233,234,236.0,237.0,238.0,,,,,,,,,,,,,,,,,,,,
48,245,247,252.0,253.0,256.0,258.0,261.0,262.0,263.0,,,,,,,,,,,,,,,,
46,246,248,250.0,254.0,255.0,257.0,259.0,265.0,,,,,,,,,,,,,,,,,
47,249,251,260.0,264.0,,,,,,,,,,,,,,,,,,,,,
12,266,269,,,,,,,,,,,,,,,,,,,,,,,
54,267,268,270.0,271.0,,,,,,,,,,,,,,,,,,,,,
